startTime,endTime,campaignType,multiplier
2025-08-20 04:00:00,2025-08-27 03:59:59,Bounty,2
2025-08-27 04:00:00,2025-09-03 03:59:59,Normal,2
2025-09-03 04:00:00,2025-09-10 03:59:59,Schedule,2
2025-09-03 04:00:00,2025-09-10 03:59:59,Scrimmage,2
2025-09-10 04:00:00,2025-09-17 03:59:59,Hard,2
2025-09-17 04:00:00,2025-09-24 03:59:59,Commission,2
2025-09-24 04:00:00,2025-10-01 03:59:59,Bounty,2
2025-09-24 04:00:00,2025-10-01 03:59:59,Scrimmage,2
2025-10-01 04:00:00,2025-10-08 03:59:59,Normal,2
2025-10-08 04:00:00,2025-10-15 03:59:59,Hard,2
2025-10-08 04:00:00,2025-10-15 03:59:59,Schedule,2
2025-10-15 04:00:00,2025-10-22 03:59:59,Commission,2
2025-10-22 04:00:00,2025-10-29 03:59:59,Bounty,2
2025-10-29 04:00:00,2025-11-05 03:59:59,Commission,2
2025-11-05 04:00:00,2025-11-12 03:59:59,Schedule,2
2025-11-05 04:00:00,2025-11-12 03:59:59,Scrimmage,2
2025-11-12 04:00:00,2025-11-16 03:59:59,Normal,2
2025-11-16 04:00:00,2025-11-19 03:59:59,Hard,2
2025-11-19 04:00:00,2025-11-26 03:59:59,Bounty,2
2025-11-26 04:00:00,2025-12-03 03:59:59,Normal,2
2025-12-03 04:00:00,2025-12-10 03:59:59,Schedule,2
2025-12-03 04:00:00,2025-12-10 03:59:59,Scrimmage,2
2025-12-10 04:00:00,2025-12-17 03:59:59,Hard,2
2025-12-17 04:00:00,2025-12-24 03:59:59,Commission,2
2025-12-24 04:00:00,2025-12-31 03:59:59,Bounty,2
2025-12-31 04:00:00,2026-01-07 03:59:59,Normal,2
2025-12-31 04:00:00,2026-01-07 03:59:59,Schedule,2
2026-01-07 04:00:00,2026-01-14 03:59:59,Hard,2
2026-01-14 04:00:00,2026-01-20 03:59:59,Scrimmage,2
2026-01-14 04:00:00,2026-01-20 03:59:59,Commission,2
2026-01-20 04:00:00,2026-01-25 03:59:59,Bounty,3
2026-01-20 04:00:00,2026-01-25 03:59:59,Normal,3
2026-01-20 04:00:00,2026-01-25 03:59:59,Hard,3
2026-01-25 04:00:00,2026-01-29 03:59:59,Commission,3
2026-01-25 04:00:00,2026-01-29 03:59:59,Schedule,3
2026-01-29 04:00:00,2026-02-05 03:59:59,Bounty,3
2026-01-29 04:00:00,2026-02-05 03:59:59,Normal,3
2026-01-29 04:00:00,2026-02-05 03:59:59,Hard,3
2026-02-05 04:00:00,2026-02-12 03:59:59,Commission,3
2026-02-05 04:00:00,2026-02-12 03:59:59,Scrimmage,3
2026-02-12 04:00:00,2026-02-18 03:59:59,Normal,2
2026-02-18 04:00:00,2026-02-25 03:59:59,Bounty,2
2026-02-25 04:00:00,2026-03-04 03:59:59,Commission,2
2026-03-04 04:00:00,2026-03-11 03:59:59,Schedule,2
2026-03-04 04:00:00,2026-03-11 03:59:59,Scrimmage,2
2026-03-11 04:00:00,2026-03-18 03:59:59,Hard,2
2026-03-18 04:00:00,2026-03-25 03:59:59,Bounty,2
2026-03-25 04:00:00,2026-04-01 03:59:59,Normal,2
2026-04-01 04:00:00,2026-04-08 03:59:59,Schedule,2
2026-04-01 04:00:00,2026-04-08 03:59:59,Scrimmage,2
2026-04-08 04:00:00,2026-04-15 03:59:59,Hard,2
2026-04-15 04:00:00,2026-04-21 03:59:59,Commission,2
2026-04-15 04:00:00,2026-04-21 03:59:59,Bounty,2
2026-04-21 04:00:00,2026-04-29 03:59:59,Schedule,2
2026-04-21 04:00:00,2026-04-29 03:59:59,Scrimmage,2
2026-04-29 04:00:00,2026-05-06 03:59:59,Normal,2
2026-05-06 04:00:00,2026-05-13 03:59:59,Bounty,2
2026-05-13 04:00:00,2026-05-20 03:59:59,Commission,2
2026-05-20 04:00:00,2026-05-27 03:59:59,Hard,2
2026-05-27 04:00:00,2026-06-03 03:59:59,Bounty,2
2026-06-03 04:00:00,2026-06-10 03:59:59,Commission,2
2026-06-10 04:00:00,2026-06-17 03:59:59,Schedule,2
2026-06-10 04:00:00,2026-06-17 03:59:59,Scrimmage,2
2026-06-17 04:00:00,2026-06-21 03:59:59,Normal,2
2026-06-21 04:00:00,2026-06-24 03:59:59,Hard,2
