season,startTime,endTime,type,teran,armorType,3nd_en,3nd_kr,3nd_ja,3nd_tw,4nd_en,4nd_kr,4nd_ja,4nd_tw
1,2022-03-09 11:00:00,2022-03-15 23:59:59,shooting,Outdoor,LightArmor,ATK SPD Decrease,공격속도 감소,攻撃速度減少,攻擊速度減少,Evasion Increase,회피 수치 증가,回避値増加,迴避數值增加
2,2022-03-23 11:00:00,2022-03-30 03:59:59,defense,Outdoor,Unarmed,DEF Decrease,방어력 감소,防御力減少,防禦力減少,Damage when enemy is defeated,적 퇴치 시 피해,敵を倒した時にダメージ,擊退敵人傷害
3,2022-05-11 11:00:00,2022-05-18 03:59:59,breakthrough,Outdoor,HeavyArmor,SR Weapon ATK Decrease,SR 무기 공격력 감소,SRの攻撃力減少,SR武器攻擊力減少,Accuracy Increase,명중 수치 증가,命中値の増加,命中數值增加
4,2022-06-08 11:00:00,2022-06-15 03:59:59,shooting,Indoor,HeavyArmor,Ally Crit Increase,아군 치명 수치 증가,味方の会心値増加,我方的暴擊數值增加,Cost Recovery Speed Decrease upon Skill Use,스킬 사용 시 코스트 회복 속도 감소,EXスキルの使用時、コスト回復速度減少,技能使用時，COST恢復速度減少
5,2022-07-06 11:00:00,2022-07-13 03:59:59,defense,Indoor,LightArmor,"MT, AR Weapon ATK Decrease","MT, AR 무기 공격력 감소",武器種MT・ARの攻撃力減少,MT、AR武器攻擊力減少,Additional Damage upon Crowd Control Hit,군중제어 적중 시 추가 피해,CC効果の作用時に追加ダメージ,群控命中時，額外傷害
6,2022-08-03 11:00:00,2022-08-09 03:59:59,breakthrough,Indoor,Unarmed,Scarecrow's Continuous HP Decrease,허수아비 체력 지속 감소,かかしのHP持続減少,稻草人的體力持續減少,All Roles Formation,모든 역할 편성 ,全クラス編成,編入所有角色
7,2022-09-21 11:00:00,2022-09-28 03:59:59,shooting,Street,Unarmed,The Select Few,소수정예,少数精鋭,少數精英,Interval Recovery,일정 시간마다 회복,一定時間毎に回復,每隔一定時間恢復
8,2022-10-12 11:00:00,2022-10-19 03:59:59,defense,Street,HeavyArmor,Max Damage Limit,최대 피해 제한,最大ダメージ制限,限制最大傷害,Additional Damage upon Attack,"공격 시 추가 피해(AR, HG)",攻撃時には追加ダメージ(AR、HG),攻擊時額外傷害（AR、HG）
9,2022-11-09 11:00:00,2022-11-16 03:59:59,breakthrough,Street,LightArmor,Buff Removal,이로운 효과 제거,バフ効果の除去,解除增益效果,Defense Piercing Increase,방어관통 수치 증가,防御貫通値の増加,增加防禦貫穿數值
10,2022-11-30 11:00:00,2022-12-07 03:59:59,shooting,Indoor,LightArmor,"T.S Class, AR Weapon ATK Increase","T.S 역할, AR 무기 공격력 증가",T.Sクラス、AR武器の攻撃力が増加,T.S角色、AR武器攻擊力增加,EX Skill Damage Immunity,EX 스킬 대미지 면역,EXスキルダメージ無効化,免疫EX技能傷害
11,2022-12-28 11:00:00,2023-01-04 03:59:59,defense,Indoor,Unarmed,"Decreases ATK upon defeating an enemy, removed upon Recovery","적 처치 시 공격력 감소, 회복 시 제거",敵を倒した時攻撃力減少、回復時は減少解除,打倒敵人時減少攻擊力，恢復時消除,"SR, MG Weapon ATK Decrease","SR, MG 무기 공격력 감소",SR、MG武器攻撃力減少,SR、MG武器攻擊力減少
12,2023-02-15 11:00:00,2023-02-22 03:59:59,breakthrough,Indoor,HeavyArmor,Scarecrow Status Changes,허수아비 상태 변화,かかしの状態変化,稻草人的狀態變化,Enemy Death Zone of Flames,적 사망 시 화염 지대,敵を倒した時に燃焼エリア生成,敵人死亡時生成燃燒區域
13,2023-03-08 11:00:00,2023-03-15 03:59:59,shooting,Outdoor,Unarmed,"Burn, Chill, Poison, Passionate Cheering Additional Damage","화상, 오한, 중독, 응원의 열기 추가 피해",火傷、悪寒、中毒、応援の熱気追加ダメージ,燒傷、惡寒、中毒、熱情應援額外傷害,Crit RES Increase,치명저항 수치 증가,会心抵抗値の増加,暴擊抵抗數值增加
14,2023-04-05 11:00:00,2023-04-12 03:59:59,defense,Outdoor,HeavyArmor,"Movement Speed Decrease, ATK Increase","이동속도 감소, 공격력 증가",移動速度の減少、攻撃力の増加,移動速度減少、攻擊力增加,Max HP Decrease,최대 체력 감소,HP減少,最大體力減少
15,2023-05-10 11:00:00,2023-05-17 03:59:59,breakthrough,Outdoor,LightArmor,Gehenna ATK Increase,게헨나 공격력 증가,ゲヘナ攻撃力増加,格黑娜攻擊力增加,The Select Few 2,소수정예2,少数精鋭Ⅱ,少數精英Ⅱ
16,2023-06-07 11:00:00,2023-06-14 03:59:59,shooting,Street,HeavyArmor,Special Student ATK Increase,스페셜 공격력 증가,スペシャルの攻撃力増加,SPECIAL的攻擊力增加,Deadly Poison,치명적인 중독,致命的な中毒,致命中毒
17,2023-06-21 11:00:00,2023-06-28 03:59:59,defense,Street,LightArmor,"More HP, Hurting Heals","최대 체력 증가, 피격 시 회복",最大体力増加、被弾時に回復,最大體力增加、受到攻擊時恢復,Evasion Increase,회피 수치 증가,回避値増加,迴避數值增加
18,2023-08-09 11:00:00,2023-08-16 03:59:59,breakthrough,Street,Unarmed,Survival of the Strongest,"추가 대미지, 공격력 증가",追加ダメージ、攻撃力増加,追加傷害、攻擊力增加,Scarecrow Recovery Reverse Damage,허수아비 회복 시 적에게 피해,かかし回復時、敵にダメージ,稻草人恢復時，對敵人造成傷害
19,2023-09-06 11:00:00,2023-09-13 03:59:59,shooting,Indoor,LightArmor,Max Damage Limit,최대 피해 제한,最大ダメージ制限,限制最大傷害,Explosive Formation,폭발 타입 편성,爆発タイプ編成,編輯爆炸類型
20,2023-10-11 11:00:00,2023-10-18 03:59:59,defense,Street,ElasticArmor,"Decreases ATK upon defeating an enemy, removed upon Recovery","적 처치 시 공격력 감소, 회복 시 제거",敵を倒した時攻撃力減少、回復時は減少解除,打倒敵人時減少攻擊力，恢復時消除,Increased Max HP,최대 체력 증가,最大HP増加,最大體力增加
21,2023-11-08 11:00:00,2023-11-15 03:59:59,escort,Outdoor,Unarmed,"Fill Crowd Control Gauge, ATK Increased","군중제어 게이지 충전 시 스킬 중단, 기본 스킬 사용 중 공격력 증가",CCゲージ満タン時にスキル中断、ノーマルスキル使用中の攻撃力増加,群控量表充電時技能中斷，基本技能使用中攻擊力增加。,"Max HP Decrease, DEF Increase","최대 체력 감소, 방어력 증가",HP減少、防御力増加,最大體力減少，防禦力增加
22,2023-12-06 11:00:00,2023-12-13 03:59:59,breakthrough,Indoor,HeavyArmor,Scarecrow's Continuous HP Decrease,허수아비 체력 지속 감소,かかしのHP持続減少,稻草人的體力持續減少,All Roles Formation,모든 역할 편성 ,全クラス編成,編入所有角色
