startTime,titleKey,volume,chapter,part
2025-09-17 11:00:00,vol6_ch1,6,1,
2025-10-08 11:00:00,vol6_ch2,6,2,
2025-11-12 11:00:00,vol6_ch3,6,3,
2026-01-18 20:00:00,ex_deca_ch2,Ex. デカグラマトン,3,1
2026-01-20 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,2
2026-01-29 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,3
2026-02-12 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,4
2026-04-21 11:00:00,part2_prologue,,,
2026-04-21 11:00:00,part2_vol0_ch1,0,1,
2026-04-21 11:00:00,part2_ex_lore_ch1,Ex. ロア追跡,1,
2026-05-27 11:00:00,part2_ex_lore_ch2,Ex. ロア追跡,2,
