season,startTime,endTime,boss,armorType
15,2025-05-22 11:00:00,2025-06-25 03:59:59,EN0009,HeavyArmor
16,2025-06-26 11:00:00,2025-07-22 03:59:59,EN0008,LightArmor
17,2025-07-23 11:00:00,2025-08-20 03:59:59,EN0011,HeavyArmor
18,2025-08-21 11:00:00,2025-09-24 03:59:59,EN0009,Unarmed
19,2025-09-25 11:00:00,2025-10-22 03:59:59,EN0008,Unarmed
20,2025-10-23 11:00:00,2025-11-19 03:59:59,EN0011,ElasticArmor
21,2025-11-20 11:00:00,2025-12-24 03:59:59,EN0009,HeavyArmor
22,2025-12-25 11:00:00,2026-01-20 03:59:59,EN0008,LightArmor
23,2026-01-21 11:00:00,2026-02-12 03:59:59,EN0009,Unarmed
24,2026-02-13 11:00:00,2026-03-18 03:59:59,EN0008,Unarmed
25,2026-03-19 11:00:00,2026-04-21 03:59:59,EN0011,ElasticArmor
26,2026-04-22 11:00:00,2026-05-27 03:59:59,EN0009,HeavyArmor
27,2026-05-28 11:00:00,2026-06-24 03:59:59,EN0008,Unarmed
28,2026-06-25 11:00:00,2026-07-29 03:59:59,EN0011,ElasticArmor
29,2026-07-30 11:00:00,2026-08-26 03:59:59,EN0008,LightArmor
