startTime,titleKey,volume,chapter,part,prediction
2024-01-16 11:00:00,vol1_ch3,1,3,4,
2024-01-23 11:00:00,vol1_ch3,1,3,5,
2025-04-29 11:00:00,ex_deca_ch1,Ex,2,1,
2025-07-22 11:00:00,ex_deca_ch1,Ex,2,2,
2025-10-07 11:00:00,ex_deca_ch1,Ex,2,3,
2025-10-21 11:00:00,vol5_ch2,5,2,1,
2025-10-28 11:00:00,vol5_ch2,5,2,2,
2026-02-03 11:00:00,vol6_ch1,6,1,0,
2026-02-24 11:00:00,vol6_ch2,6,2,0,
2026-03-31 11:00:00,vol6_ch3,6,3,0,
2026-05-19 20:00:00,ex_deca_ch2,Ex. デカグラマトン,3,1,true
2026-05-26 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,2,true
2026-06-04 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,3,true
2026-06-23 11:00:00,ex_deca_ch2,Ex. デカグラマトン,3,4,true
2026-08-31 11:00:00,part2_prologue,,,,
2026-08-31 11:00:00,part2_vol0_ch1,0,1,,
2026-08-31 11:00:00,part2_ex_lore_ch1,Ex. ロア追跡,1,,
2026-10-06 11:00:00,part2_ex_lore_ch2,Ex. ロア追跡,2,,
